❤️央视频道,#genre#
凤凰资讯,http://171.213.202.76:5555/udp/239.93.0.118:2191
凤凰资讯,http://171.213.204.254:8000/udp/239.93.0.118:2191
黑龙江卫视,http://171.213.204.254:8000/udp/239.93.0.183:5140
黑龙江卫视,http://171.213.204.88:888/udp/239.93.0.183:5140
黑龙江卫视,http://171.213.202.76:5555/udp/239.93.0.183:5140
🗽地方综合,#genre#
i成都,http://171.213.204.88:888/udp/239.93.1.104:1234
i成都,http://171.213.202.76:5555/udp/239.93.1.104:1234
i成都,http://171.213.204.254:8000/udp/239.93.1.104:1234
CDTV1,http://171.213.204.88:888/udp/239.93.0.16:5140
CDTV1,http://171.213.204.254:8000/udp/239.93.0.16:5140
CDTV1,http://171.213.202.76:5555/udp/239.93.0.16:5140
CDTV2,http://171.213.204.254:8000/udp/239.93.0.17:1239
CDTV2,http://171.213.204.88:888/udp/239.93.0.17:1239
CDTV2,http://171.213.202.76:5555/udp/239.93.0.17:1239
CDTV3,http://171.213.204.88:888/udp/239.93.0.18:1238
CDTV3,http://171.213.202.76:5555/udp/239.93.0.18:1238
CDTV3,http://171.213.204.254:8000/udp/239.93.0.18:1238
CDTV4,http://171.213.202.76:5555/udp/239.93.0.19:1250
CDTV4,http://171.213.204.254:8000/udp/239.93.0.19:1250
CDTV4,http://171.213.204.88:888/udp/239.93.0.19:1250
CDTV5,http://171.213.204.254:8000/udp/239.93.1.231:5140
CDTV5,http://171.213.204.88:888/udp/239.93.1.231:5140
CDTV5,http://171.213.204.88:888/udp/239.93.0.20:1235
CDTV5,http://171.213.202.76:5555/udp/239.93.1.231:5140
CDTV5,http://171.213.202.76:5555/udp/239.93.0.20:1235
CDTV5,http://171.213.204.254:8000/udp/239.93.0.20:1235
CDTV6,http://171.213.204.88:888/udp/239.93.0.21:1251
CDTV6,http://171.213.202.76:5555/udp/239.93.0.21:1251
CDTV6,http://171.213.204.254:8000/udp/239.93.0.21:1251
CDTV8,http://171.213.204.254:8000/udp/239.93.0.22:1252
CDTV8,http://171.213.204.88:888/udp/239.93.0.22:1252
CDTV8,http://171.213.202.76:5555/udp/239.93.0.22:1252
蓉城先锋,http://171.213.202.76:5555/udp/239.93.0.91:2101
蓉城先锋,http://171.213.204.254:8000/udp/239.93.0.91:2101
蓉城先锋,http://171.213.204.88:888/udp/239.93.0.91:2101
红色经典,http://171.213.204.254:8000/udp/239.93.1.176:5140
红色经典,http://171.213.204.88:888/udp/239.93.1.176:5140
红色经典,http://171.213.202.76:5555/udp/239.93.1.176:5140
东方财经,http://171.213.204.254:8000/udp/239.93.1.165:5140
东方财经,http://171.213.202.76:5555/udp/239.93.1.165:5140
东方财经,http://171.213.204.88:888/udp/239.93.1.165:5140
四川新闻,http://171.213.204.88:888/udp/239.93.0.47:5140
四川新闻,http://171.213.202.76:5555/udp/239.93.0.47:5140
四川新闻,http://171.213.204.254:8000/udp/239.93.0.47:5140
四川经济,http://171.213.202.76:5555/udp/239.93.1.101:5140
四川经济,http://171.213.204.254:8000/udp/239.93.1.101:5140
四川经济,http://171.213.204.88:888/udp/239.93.1.101:5140
四川乡村,http://171.213.204.254:8000/udp/239.93.0.52:5140
四川乡村,http://171.213.204.88:888/udp/239.93.0.52:5140
四川乡村,http://171.213.202.76:5555/udp/239.93.0.52:5140
四川影视,http://171.213.202.76:5555/udp/239.93.0.166:5140
四川影视,http://171.213.204.88:888/udp/239.93.0.166:5140
四川影视,http://171.213.204.254:8000/udp/239.93.0.166:5140
四川科教,http://171.213.204.88:888/udp/239.93.42.44:5140
四川科教,http://171.213.204.254:8000/udp/239.93.42.44:5140
四川科教,http://171.213.202.76:5555/udp/239.93.42.44:5140
四川妇女儿童,http://171.213.204.254:8000/udp/239.93.0.219:5140
四川妇女儿童,http://171.213.204.88:888/udp/239.93.0.219:5140
四川妇女儿童,http://171.213.202.76:5555/udp/239.93.0.219:5140
四川文化旅游,http://171.213.202.76:5555/udp/239.93.1.102:5140
四川文化旅游,http://171.213.204.88:888/udp/239.93.1.102:5140
四川文化旅游,http://171.213.204.254:8000/udp/239.93.1.102:5140
🍁数字频道,#genre#
爱谍战,http://171.213.204.88:888/udp/239.93.42.14:5140
爱谍战,http://171.213.202.76:5555/udp/239.93.42.14:5140
爱谍战,http://171.213.204.254:8000/udp/239.93.42.14:5140
爱动漫,http://171.213.204.88:888/udp/239.93.42.23:5140
爱动漫,http://171.213.204.254:8000/udp/239.93.42.23:5140
爱动漫,http://171.213.202.76:5555/udp/239.93.42.23:5140
爱都市,http://171.213.202.76:5555/udp/239.93.42.15:5140
爱都市,http://171.213.204.88:888/udp/239.93.42.15:5140
爱都市,http://171.213.204.254:8000/udp/239.93.42.15:5140
